,N_index,GE,BOE,AJRD,LCKM,NRPGRM,ORB
30/06/2017,143,-0.000370096,0.001468652,0.001926782,0.003179995,0.007179849,0.017061317
29/06/2017,144,-0.002215657,-0.010820559,-0.006223073,-0.011749161,-0.010405342,-0.020261372
28/06/2017,145,-0.004777655,0.003670371,0.017039922,0.007882518,0.008733795,0.017523967
27/06/2017,146,-0.014487505,-0.005450545,0.007850834,-0.006685735,-0.002422348,-0.009192115
26/06/2017,147,0.001450852,-0.011125946,-0.005853659,-0.003349487,-0.005633256,-0.005485018
23/06/2017,148,0.000725953,0.01398917,0.010349926,0.00074885,0.001985286,-0.00354251
22/06/2017,149,-0.008279338,0.001355626,-0.005879471,-0.009046256,-0.013062354,-0.01984127
21/06/2017,150,-0.012442232,0.004235365,-0.015436565,0.000353494,0.000499692,0.000297708
20/06/2017,151,-0.023263889,-0.00376733,-0.014265335,0.002089975,-0.004248479,-0.003461234
19/06/2017,152,-0.006896552,0.013439218,0.009117083,0.004233218,0.010363897,0.016281407
16/06/2017,153,0.002073255,0.005065234,-0.005725191,0.000640729,-0.000193319,-0.000903705
15/06/2017,154,0.008713838,0.015958,-0.016424214,0.002247592,-0.003928214,0.00110575
14/06/2017,155,0.008435852,0.006750746,-0.000469043,0.006969392,0.008036026,0.002115443
13/06/2017,156,-0.016931583,0.005736842,-0.010213556,0.005308967,0.006250244,0.022348095
12/06/2017,157,0.035790981,-0.00015787,-0.011019284,-0.000397112,-0.002727025,-0.009890894
09/06/2017,158,0.012685756,0.00052651,0.002762431,-0.002233268,0.002147263,-0.013479529
08/06/2017,159,-0.003251445,0.009728868,0.022117647,0.000865239,0.005772176,-0.001506629
07/06/2017,160,-0.008950949,0.007228916,-0.002347418,0.001805836,0.005845413,-0.006783719
06/06/2017,161,-0.001786991,-0.011643292,-0.030937216,-0.011601756,-0.009467548,-0.010268562
05/06/2017,162,0.003586801,-0.006728697,-0.006778129,-0.005785065,-0.011256382,-0.029141104
02/06/2017,163,0.005772006,0.015534914,0.007282658,0.00284738,0.003532472,0.009092668
01/06/2017,164,0.012417823,-0.001652188,0.003196347,-0.000604702,-0.006210941,0.016919142
31/05/2017,165,0.000730994,0.004013271,0.00921659,0.003713092,0.011748175,0.01164295
30/05/2017,166,-0.003278689,0.00155421,0.000461042,-0.012550679,-0.003035138,-0.009365142
26/05/2017,167,-0.001455075,-0.002565884,-0.006868132,0.005637098,0.001832216,-0.005880047
25/05/2017,168,-0.012217032,0.009824561,0.013457077,0.00717729,0.012392454,0.011298315
