,N_index,NYSE:EGL Open,NYSE:EGL High,NYSE:EGL Low,NYSE:EGL Close,NYSE:BA Open,NYSE:BA High,NYSE:BA Low,NYSE:BA Close,NYSE:TGI Open,NYSE:TGI High,NYSE:TGI Low,NYSE:TGI Close,NYSE:LMT Open,NYSE:LMT High,NYSE:LMT Low,NYSE:LMT Close,NYSE:NOC Open,NYSE:NOC High,NYSE:NOC Low,NYSE:NOC Close,NYSE:OA Open,NYSE:OA High,NYSE:OA Low,NYSE:OA Close
6-Mar-17,208,31.25,31.60,30.51,30.75,181.40,182.30,180.43,180.93,26.75,27.00,26.45,26.6,267.43,268.48,266.80,267.72,242.43,243.66,241.97,242.92,94.15,94.86,93.7,94.73
3-Mar-17,209,31.61,32.17,31.15,31.49,183.04,183.58,181.45,182.18,27.30,27.35,26.75,26.85,267.07,268.33,266.25,267.76,243.00,243.76,242.1,242.93,94.15,94.75,94.15,94.46
2-Mar-17,210,32.25,32.25,31.27,31.6,184.00,185.71,182.97,182.99,27.75,28.05,27.1,27.2,269.00,269.0,266.22,266.99,245.00,245.39,242.59,243.07,94.62,94.97,94.15,94.21
1-Mar-17,211,31.76,32.50,31.48,32.34,181.85,184.80,181.82,183.91,28.65,28.80,27.55,27.9,269.09,270.0,267.33,268.38,247.87,248.88,245.88,245.93,93.60,94.79,93.58,94.61
28-Feb-17,212,31.96,32.41,31.3,31.31,180.34,181.93,179.67,180.23,27.70,28.35,27.52,27.8,269.64,269.72,266.45,266.58,247.50,248.30,245.52,247.09,94.02,94.73,92.35,92.42
27-Feb-17,213,30.89,32.19,30.89,31.99,178.00,179.88,177.55,179.43,26.85,28.15,26.75,27.75,265.00,270.0,264.20,269.36,245.59,249.43,245.11,248.6,91.53,93.59,90.94,93.51
24-Feb-17,214,30.13,31.02,30.1,31.0,176.75,178.80,176.10,177.44,26.30,26.95,26.05,26.8,264.57,266.0,263.18,266.0,243.59,245.29,242.54,245.05,89.74,91.88,89.73,91.85
23-Feb-17,215,31.56,31.56,30.13,30.62,175.97,177.00,175.70,176.86,26.45,27.35,26.4,26.7,266.31,266.31,263.77,264.85,242.32,243.99,241.6,243.86,91.66,91.78,90.13,90.43
22-Feb-17,216,31.40,31.78,31.15,31.41,174.98,175.75,174.01,175.36,26.30,26.50,25.95,26.4,265.00,266.02,264.21,265.92,243.35,243.53,242.01,242.98,91.14,91.99,90.6,91.82
21-Feb-17,217,31.15,31.60,31.01,31.54,173.92,176.17,173.68,175.56,27.00,27.10,26.35,26.5,264.81,266.07,264.19,265.66,242.27,244.83,241.7,244.12,89.49,91.30,89.18,91.22
17-Feb-17,218,32.26,32.30,31.0,31.16,170.41,173.25,170.40,172.71,26.65,26.85,26.35,26.8,264.71,265.43,263.50,265.35,243.39,243.99,241.89,243.58,89.35,89.54,88.82,89.52
16-Feb-17,219,31.00,32.11,30.8,32.05,169.74,170.81,168.75,170.81,27.15,27.20,26.4,26.8,263.92,265.4,262.73,265.33,241.60,243.68,240.81,243.53,89.11,89.42,87.72,89.37
15-Feb-17,220,30.57,31.05,30.52,30.96,168.42,169.95,168.35,169.3,27.20,27.21,26.65,27.15,262.00,263.76,261.07,263.46,239.14,241.99,238.95,241.59,89.11,89.41,88.6,89.11
